Subject,NoSee_0,NoSee_1,NoSee_2,NoSee_3,NoSee_4,See_0,See_1,See_2,See_3,See_4,Personality
1,0.1301,0.1504,0.1209,0.1216,0.1525,0.295,0.44,0.475,0.42,0.265,0.022299485
2,0.2051,0.2004,0.1959,0.2316,0.2575,0.46,0.59,0.66,0.66,0.53,0.666935323
3,0.0601,0.0604,0.1309,0.2316,0.3425,0.43,0.61,0.72,0.77,0.75,0.745759168
4,0.2101,0.2404,0.2209,0.2416,0.2425,0.435,0.57,0.625,0.59,0.425,0.852701458
5,0.1451,0.1304,0.1359,0.1716,0.1975,0.42,0.54,0.61,0.6,0.49,0.606625006
6,0.1101,0.1404,0.1909,0.2616,0.3625,0.44,0.57,0.64,0.67,0.65,2.163390838
7,0.1501,0.2004,0.2009,0.2816,0.4025,0.33,0.5,0.6,0.67,0.66,0.499947259
8,0.2051,0.2204,0.2059,0.2516,0.2575,0.46,0.6,0.64,0.65,0.51,0.438993953
9,0.0401,0.0204,0.0609,0.0616,0.0825,0.405,0.55,0.565,0.54,0.355,0.410307874
10,0.2301,0.2604,0.3209,0.4216,0.4925,0.44,0.61,0.77,0.83,0.8,0.934230456
11,0.1351,0.1104,0.1559,0.1516,0.1975,0.43,0.56,0.61,0.61,0.48,1.612042723
12,0.1201,0.0804,0.1209,0.0816,0.1225,0.425,0.49,0.515,0.41,0.265,0.984280551
