idnum,gender,age,Health,Yrsmar
1467,2,29,10,1
1544,1,25,10,1
1607,2,46,10,1
2005,2,32,10,1
2323,1,26,10,1
2405,2,47,10,1
2418,2,32,10,1
1093,1,28,9,1
1880,1,40,9,1
2070,1,38,9,1
2283,1,29,9,1
2499,2,25,9,1
1176,1,40,8,1
1180,2,36,8,1
1207,1,45,8,1
1599,2,26,8,1
1742,1,33,8,1
2527,1,40,8,1
1669,1,42,7,1
2333,2,29,6,1
1042,2,35,10,1
1043,1,31,10,1
1429,1,80,10,1
1208,1,27,8,1
1199,1,41,10,2
1539,1,28,10,2
1728,1,29,10,2
2529,1,34,10,2
1246,1,32,9,2
2119,1,40,9,2
2350,1,45,9,2
1122,1,30,8,2
1079,2,30,7,2
1250,1,26,7,2
1906,1,26,7,2
1189,2,33,6,2
2523,1,32,7,2
1486,1,48,5,2
1838,1,48,8,2
1494,2,27,5,2
1668,1,26,10,3
1819,1,46,10,3
1888,1,33,10,3
2048,1,27,10,3
2355,1,32,10,3
2374,1,31,10,3
2525,1,26,10,3
1699,2,27,9,3
1067,1,39,8,3
1190,1,42,8,3
1791,1,32,8,3
1836,1,49,8,3
1845,1,42,8,3
1400,2,29,7,3
1879,1,45,7,3
2410,1,38,7,3
1736,1,33,6,3
1846,1,31,5,3
2432,1,46,5,3
1233,2,26,1,3
2316,1,29,10,3
1171,2,33,8,3
1437,2,26,8,3
2315,2,31,8,3
2060,2,35,5,3
2421,2,30,10,4
2528,1,26,10,4
1883,2,45,9,4
2370,1,27,9,4
1083,1,36,8,4
1489,1,46,8,4
1734,1,31,8,4
1813,1,39,8,4
1831,1,31,8,4
2468,1,38,8,4
2485,1,32,8,4
1102,1,37,7,4
2515,1,26,7,4
1003,2,30,6,4
2029,1,36,5,4
1752,1,54,7,4
1347,2,44,8,4
2223,2,29,8,4
1231,2,26,7,4
2120,2,31,7,4
1870,1,45,10,5
2389,1,27,10,5
1329,1,32,9,5
1330,1,44,9,5
1433,1,35,9,5
1615,1,34,9,5
1873,1,27,9,5
2407,2,33,9,5
2464,2,38,9,5
1756,1,49,8,5
2002,1,26,8,5
2068,1,34,8,5
2214,1,28,8,5
1863,2,36,7,5
2318,1,26,10,5
2260,1,37,8,5
1555,1,73,4,5
2127,2,30,10,5
1618,2,31,8,5
2198,2,32,8,5
2076,2,56,3,5
2489,1,61,3,5
1235,1,29,10,6
1374,1,35,10,6
1422,1,31,10,6
1508,2,33,10,6
1540,2,26,10,6
1792,1,36,10,6
1802,1,38,10,6
2331,1,31,10,6
2483,1,27,10,6
1814,1,32,9,6
2330,1,39,9,6
1069,2,45,8,6
1541,2,40,8,6
1826,1,44,7,6
2053,2,39,6,6
1625,2,31,10,6
1774,1,34,8,6
2244,1,30,5,6
2011,2,31,10,6
2200,2,33,10,6
2234,2,32,9,6
2058,1,27,5,6
1876,1,39,2,6
1409,2,44,10,7
1678,1,40,10,7
1705,1,27,10,7
1118,2,32,9,7
1703,1,26,9,7
1201,1,32,8,7
1692,1,36,8,7
1781,1,33,8,7
2381,1,33,8,7
2493,2,41,8,7
1824,1,39,7,7
2388,1,29,7,7
1448,2,39,5,7
2322,1,29,9,7
1506,2,39,8,7
1169,2,62,8,7
2168,2,36,9,7
1569,2,43,7,7
2194,1,50,1,7
1444,1,25,10,8
1701,1,33,10,8
1706,1,41,10,8
2430,1,34,10,8
1353,2,31,9,8
2385,1,30,9,8
1496,1,27,8,8
1857,1,52,8,8
2185,2,27,8,8
2442,2,29,8,8
1367,1,40,7,8
1604,2,35,7,8
1651,1,35,7,8
2413,1,50,5,8
1664,1,40,0,8
1130,1,36,10,8
1634,2,32,10,8
